Date,Time,Round,Venue,Home.Team,Away.Team,Home.Points,Away.Points,AwayWin,HomeWin,Draw,Season,Match_id
2016-04-09,14:10,3, Marvel Stadium,Richmond,Adelaide,92,128,1,0,0,2015,6192
2016-04-09,16:35,3, SCG,Sydney,GWS,93,68,0,1,0,2015,6193
2016-04-09,17:40,3, Domain Stadium,West Coast,Fremantle,92,59,0,1,0,2015,6195
2016-04-09,19:25,3, People First Stadium,Gold Coast,Carlton,95,41,0,1,0,2015,6194
2016-04-10,13:10,3, Ninja Stadium,North Melbourne,Melbourne,136,131,0,1,0,2015,6196
2016-04-10,15:20,3, Marvel Stadium,Western Bulldogs,Hawthorn,90,93,1,0,0,2015,6197
2016-04-10,16:40,3, GMHBA Stadium,Geelong,Brisbane,125,56,0,1,0,2015,6198
2016-04-15,18:10,4, Domain Stadium,West Coast,Richmond,125,57,0,1,0,2015,6199
2016-04-16,13:45,4, MCG,Essendon,Geelong,42,72,1,0,0,2015,6200
2016-04-16,14:10,4, UTAS Stadium,Hawthorn,St Kilda,87,84,0,1,0,2015,6201
2016-04-16,16:35,4, Gabba,Brisbane,Gold Coast,107,94,0,1,0,2015,6202
2016-04-16,19:10,4, Adelaide Oval,Adelaide,Sydney,113,103,0,1,0,2015,6204
2016-04-16,19:25,4, Marvel Stadium,Carlton,Western Bulldogs,49,85,1,0,0,2015,6203
2016-04-17,13:10,4, Manuka Oval,GWS,Port Adelaide,151,65,0,1,0,2015,6205
2016-04-17,15:20,4, MCG,Collingwood,Melbourne,67,102,1,0,0,2015,6206
2016-04-17,16:40,4, Marvel Stadium,North Melbourne,Fremantle,132,101,0,1,0,2015,6207
2016-04-22,19:50,5, MCG,Hawthorn,Adelaide,112,109,0,1,0,2015,6208
2016-04-23,13:45,5, SCG,Sydney,West Coast,88,49,0,1,0,2015,6209
2016-04-23,16:35,5, People First Stadium,Gold Coast,North Melbourne,81,119,1,0,0,2015,6210
2016-04-23,19:15,5, Adelaide Oval,Port Adelaide,Geelong,59,107,1,0,0,2015,6212
2016-04-23,19:25,5, Marvel Stadium,Western Bulldogs,Brisbane,120,67,0,1,0,2015,6211
2016-04-24,13:10,5, Marvel Stadium,St Kilda,GWS,79,126,1,0,0,2015,6213
2016-04-24,14:15,5, Domain Stadium,Fremantle,Carlton,68,72,1,0,0,2015,6214
2016-04-24,19:10,5, MCG,Melbourne,Richmond,129,96,0,1,0,2015,6215
2016-04-25,15:20,5, MCG,Collingwood,Essendon,142,73,0,1,0,2015,6216
2016-04-29,19:50,6, Marvel Stadium,North Melbourne,Western Bulldogs,61,45,0,1,0,2015,6217
2016-04-30,13:40,6, Adelaide Oval,Adelaide,Fremantle,97,64,0,1,0,2015,6219
2016-04-30,13:45,6, Marvel Stadium,Melbourne,St Kilda,96,135,1,0,0,2015,6218
2016-04-30,16:35,6, ENGIE Stadium,GWS,Hawthorn,158,83,0,1,0,2015,6220
2016-04-30,19:25,6, MCG,Richmond,Port Adelaide,59,94,1,0,0,2015,6221
2016-04-30,19:25,6, GMHBA Stadium,Geelong,Gold Coast,168,48,0,1,0,2015,6222
